FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
1/9/16,573.02
2/9/16,576.21
3/9/16,600.91
4/9/16,611.92
5/9/16,605.69
6/9/16,612.99
7/9/16,615.21
8/9/16,627.97
9/9/16,622.07
10/9/16,623.74
11/9/16,607.94
12/9/16,606.74
13/9/16,608.63
14/9/16,608.43
15/9/16,605.44
16/9/16,607.93
17/9/16,607.92
18/9/16,611.4
19/9/16,608.6
20/9/16,605.6
21/9/16,597
22/9/16,596.21
23/9/16,602.96
24/9/16,603.68
25/9/16,601.67
26/9/16,607.08
27/9/16,605.71
28/9/16,605.04
29/9/16,605.99
30/9/16,608.99
1/10/16,615.65
2/10/16,612.4
3/10/16,612.99
4/10/16,610.34
5/10/16,613.16
6/10/16,611.88
7/10/16,617.98
8/10/16,619.5
9/10/16,617.42
10/10/16,618.72
11/10/16,642.12
12/10/16,635.79
13/10/16,635.66
14/10/16,638.03
15/10/16,638.16
16/10/16,641.92
17/10/16,639.56
18/10/16,635.11
19/10/16,629.79
20/10/16,628.05
21/10/16,630.83
22/10/16,652.75
23/10/16,651.04
24/10/16,649.98
25/10/16,654.3
26/10/16,674
27/10/16,691.21
28/10/16,689.95
29/10/16,714.28
30/10/16,697.41
31/10/16,696.9
1/11/16,730.7
2/11/16,744.6
3/11/16,690
4/11/16,706.32
5/11/16,706.99
6/11/16,717.02
7/11/16,706.42
8/11/16,711.15
9/11/16,720.97
10/11/16,712.91
11/11/16,716.9
12/11/16,704.53
13/11/16,704.01
14/11/16,708.32
15/11/16,712.29
16/11/16,739.85
17/11/16,730.71
18/11/16,748.54
19/11/16,750.77
20/11/16,731.99
21/11/16,736.4
22/11/16,746.66
23/11/16,741.52
24/11/16,737.99
25/11/16,739.74
26/11/16,735.7
27/11/16,729.24
28/11/16,729.77
29/11/16,732.37
30/11/16,742.69
1/12/16,754
2/12/16,769.25
3/12/16,766.98
4/12/16,767.99
5/12/16,752
6/12/16,759.8
7/12/16,764.34
8/12/16,767.89
9/12/16,773.22
10/12/16,775.87
11/12/16,771.05
12/12/16,778.94
13/12/16,776.18
14/12/16,777.66
15/12/16,776.16
16/12/16,780.98
17/12/16,788.57
18/12/16,790.72
19/12/16,790.81
20/12/16,798.99
21/12/16,834.5
22/12/16,856.02
23/12/16,917.26
24/12/16,891.5
25/12/16,896.12
26/12/16,902.09
27/12/16,925.2
28/12/16,982.17
29/12/16,970.72
30/12/16,960.81
31/12/16,973.37
1/1/17,992.95
2/1/17,1011.45
3/1/17,1020.67
4/1/17,1130.3
5/1/17,1007
6/1/17,895.71
7/1/17,909
8/1/17,923.33
9/1/17,902.66
10/1/17,907
11/1/17,795.77
12/1/17,812.25
13/1/17,831.42
14/1/17,828
15/1/17,833.31
16/1/17,834.41
17/1/17,906
18/1/17,887.99
19/1/17,902.92
20/1/17,894.31
21/1/17,925.06
22/1/17,931.22
23/1/17,910.7
24/1/17,887
25/1/17,896
26/1/17,917.02
27/1/17,922.63
28/1/17,924.98
29/1/17,916.54
30/1/17,923.23
31/1/17,970.01
1/2/17,992.75
2/2/17,1008.38
3/2/17,1018
4/2/17,1035.54
5/2/17,1016.32
6/2/17,1022.58
7/2/17,1053.96
8/2/17,1056.7
9/2/17,994.24
10/2/17,1001.99
11/2/17,1018.65
12/2/17,1010
13/2/17,1002.82
14/2/17,1013.92
